¿Qué es el monotributo?;Es un régimen simplificado para pequeños contribuyentes. Combina el pago del impuesto, la jubilación y la obra social en una sola cuota mensual.
¿Cómo me doy de alta en el monotributo?;Ingresá a afip.gob.ar, accedé con tu clave fiscal, seleccioná ""Monotributo"" y elegí “Adherirse al Monotributo”. Seguí los pasos del sistema.
¿Qué necesito para inscribirme en el monotributo?;Tu CUIT, clave fiscal nivel 2 o superior, y declarar una actividad económica.
¿Cuánto tengo que pagar por el monotributo?;Depende de tu categoría (A hasta K). El monto varía según tus ingresos y actividad.
¿Qué actividades puedo hacer siendo monotributista?;Casi cualquier actividad comercial, profesional o de servicios. Hay algunas excluidas, como ser socio de una SA o SRL.
¿Cuándo se paga el monotributo?;Todos los meses, hasta el día 20 (o el día hábil anterior si cae feriado o fin de semana).
¿Cómo se paga el monotributo?;Podés pagar con débito automático, por homebanking o con billeteras virtuales como Mercado Pago o Ualá.
¿Puedo facturar sin estar inscripto en AFIP?;No. Para emitir facturas legales necesitás estar inscripto en AFIP como monotributista o responsable inscripto.
¿Qué tipo de factura emite un monotributista?;Generalmente factura tipo C, que es para consumidores finales o no inscriptos en IVA.
¿Cómo genero una factura electrónica?;Ingresá a “Comprobantes en línea” en la web de AFIP, completá los datos de tu cliente y elegí el tipo de factura.
¿Necesito un controlador fiscal?;No. Con el sistema de facturación electrónica de AFIP alcanza para la mayoría de los casos.
¿Qué pasa si me atraso con el pago del monotributo?;Vas a acumular intereses. Si pasa mucho tiempo, podés quedar excluido del régimen.
¿Qué pasa si supero el límite de facturación del monotributo?;Tenés que pasarte al régimen general, donde se paga IVA, ganancias y aportes por separado.
¿Qué son las categorías del monotributo?;Son escalones que dividen a los monotributistas según su facturación anual. Van desde la A (más baja) hasta la K.
¿Cómo sé en qué categoría estoy?;Podés simular tu categorización en la web de AFIP o revisar tus ingresos de los últimos 12 meses.
¿Cada cuánto tengo que recategorizarme?;En enero y julio de cada año, AFIP abre los períodos obligatorios de recategorización.
¿Qué es el régimen general?;Es el régimen impositivo donde se paga IVA, Ganancias y otros impuestos por separado. Es más complejo que el monotributo.
¿Qué diferencia hay entre factura A y C?;La factura A la emiten los responsables inscriptos (con IVA discriminado). La C la emiten monotributistas (sin IVA).
¿Puedo emitir factura si soy freelance?;Sí, siempre y cuando estés inscripto en AFIP como monotributista o responsable inscripto.
¿Necesito tener un local físico para inscribirme?;No. Podés usar tu domicilio personal como domicilio fiscal.
¿Puedo ser monotributista si vendo por internet?;Sí. Aunque vendas por redes o plataformas como MercadoLibre, tenés que estar inscripto si superás ciertos montos.
¿Qué pasa si facturo mucho en poco tiempo?;Si superás el tope anual de tu categoría, tenés que recategorizarte o cambiar al régimen general.
¿Cuáles son las deducciones del impuesto a las ganancias?;Algunas deducciones comunes son alquiler, obra social, seguros de vida, y familiares a cargo.
¿Qué es el IVA?;Es el Impuesto al Valor Agregado. Se paga en casi todas las compras y servicios y los responsables inscriptos lo discriminan en sus facturas.
¿Qué impuestos paga un responsable inscripto?;IVA, Ganancias, Autónomos y otros según actividad. Es un régimen más complejo.
¿Qué pasa si no me inscribo en AFIP y vendo igual?;Estás en situación informal. Si te detectan, pueden aplicarte multas y hacerte pagar retroactivamente.
¿Qué pasa si vendo al exterior?;Podés hacerlo, pero hay que emitir una factura E. No todos los monotributistas están habilitados, depende de tu actividad.
¿Puedo tener empleados siendo monotributista?;Sí, pero hay límites. Podés registrar hasta tres empleados.
¿Qué es la clave fiscal y cómo se obtiene?;Es una clave personal para operar en la web de AFIP. Se tramita en afip.gob.ar o con la app “Mi AFIP”.
¿Cómo contacto a AFIP si tengo dudas?;Podés hacerlo por la web, la app “Mi AFIP”, redes sociales oficiales o llamar al 0800-999-2347.
holaaa;respuesta a mi pregunta
tengo dudas;respuesta
no se que mas preguntar;aca va la respuesta
